image,tag,left bottom,right top
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,Persoon 7,"(349.4771784232365, 21.244813278008298)","(740.3817427385892, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 3,"(278.3070539419087, 74.35684647302905)","(402.58921161825725, 388.78008298755185)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 4,"(428.08298755186723, 18.058091286307054)","(871.0373443983402, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 5,"(826.4232365145228, 294.2406639004149)","(979.3858921161826, 374.97095435684645)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_0.jpg,Persoon 6,"(787.1203319502075, 370.7219917012448)","(1018.688796680498, 778.6224066390041)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 8,"(553.4273858921161, 413.2116182572614)","(848.7302904564316, 944.3319502074689)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 2,"(932.6473029045643, 408.9626556016598)","(1051.6182572614107, 545.9917012448133)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 4,"(551.3029045643153, 222.00829875518673)","(834.9211618257261, 472.6970954356847)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 7,"(389.84232365145226, 146.58921161825725)","(550.2406639004149, 619.2863070539419)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 9,"(250.68879668049792, 169.95850622406638)","(433.3941908713693, 655.402489626556)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 5,"(0, 281.49377593361)","(278.3070539419087, 1024)"
vlc-record-2019-02-15-10h16m31s-rtsp___80_10155.jpg,Persoon 1,"(889.0954356846473, 248.5643153526971)","(977.2614107883818, 379.21991701244815)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 1,"(0, 266.62240663900417)","(303.8008298755187, 1024)"
vlc-record-2019-02-15-10h16m13s-rtsp___80_15.jpg,Persoon 2,"(116.84647302904564, 205.0124481327801)","(189.07883817427387, 268.746887966805)"
