full_image,image_snippet,person_id,iou
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 1,0.0017051947375506
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 1,0.4396132316603297
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 1,0.1199802410653915
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 2,0.0007384303774136
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 2,0.052111331081493
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,Persoon 3,0.2076505525423004
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,Persoon 3,0.2509549763255016
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,Persoon 3,0.0398667814651722
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,Persoon 3,0.1668003144350649
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_1.JPG,Persoon 5,0.0109077170238803
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_2.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_3.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_4.JPG,Persoon 5,0.0172336491754331
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_5.JPG,,0.0
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_6.JPG,Persoon 5,0.0013401829514121
vlc-record-2019-02-15-10h16m31s-rtsp___80_0.jpg,vlc-record-2019-02-15-10h16m31s-rtsp___80_0_0.JPG,,0.0
